timestamp_ms,dev_id,rms_x,rms_y,rms_z,overall_rms,peak_freq,peak_amp,temperature_c,humidity_rh,label

15328,1,11.992998,6.585786,5.344858,14.689183,25.0,7.94655,0.0,0.0,unknown
15328,1,11.992998,6.585786,5.344858,14.689183,25.0,7.94655,0.0,0.0,unknown
15328,1,11.992998,6.585786,5.344858,14.689183,25.0,7.94655,0.0,0.0,unknown
15328,1,11.992998,6.585786,5.344858,14.689183,25.0,7.94655,0.0,0.0,unknown
15328,1,11.992998,6.585786,5.344858,14.689183,25.0,7.94655,0.0,0.0,unknown
12828,1,11.992998,6.585786,5.344858,14.689183,25.0,7.94655,0.0,0.0,unknown

16924,1,8.948126,10.638737,20.28697,24.592964,25.0,1.66173,31.05,50.11,unknown
20898,1,10.735055,13.688478,22.156675,28.169741,13.28,2.269355,31.05,50.11,unknown
24923,1,11.251196,13.193357,22.556282,28.450655,14.84,1.85016,31.05,50.11,unknown
28819,1,9.113376,9.471165,21.888334,25.531466,18.75,0.936066,31.05,50.11,unknown
32860,1,12.090067,16.174688,22.49523,30.229563,17.19,2.424096,31.05,50.11,unknown
36742,1,11.72894,16.721828,22.896372,30.682749,16.41,1.506209,31.05,50.11,unknown
40645,1,11.008933,15.834547,22.91057,29.947016,14.06,2.265902,31.05,50.11,unknown
44526,1,12.180573,16.484928,22.870798,30.71143,14.84,1.700053,31.05,50.11,unknown
48387,1,10.561573,15.91234,22.943899,29.852518,15.62,2.062816,31.05,50.11,unknown
52208,1,12.520997,16.201859,23.063101,30.84123,14.06,2.686668,31.05,50.11,unknown
56090,1,11.198981,15.145002,23.550766,30.156712,12.5,1.882131,31.05,50.11,unknown
59902,1,10.867237,14.176913,22.461914,28.698772,15.62,1.636683,31.05,50.11,unknown
63804,1,11.399083,16.659729,22.532404,30.252193,17.97,1.728867,31.05,50.11,unknown
67837,1,12.118346,16.002895,23.013037,30.537636,16.41,2.380653,31.05,50.11,unknown
71678,1,9.233463,12.624339,22.663473,27.536596,9.38,1.419122,31.05,50.11,unknown
75610,1,12.77768,17.782904,22.875664,31.666967,15.62,2.881563,31.05,50.11,unknown
79431,1,10.756969,13.831964,22.563337,28.568171,14.06,2.629752,31.05,50.11,unknown
83190,1,11.941236,16.402395,22.469147,30.273653,13.28,1.775649,31.05,50.11,unknown
87041,1,11.926649,17.000992,23.163208,31.109686,14.84,1.868451,31.05,50.11,unknown
90953,1,9.630216,11.511476,22.081579,26.699287,14.84,1.193378,31.05,50.11,unknown
94835,1,10.206143,16.043732,23.454695,30.194202,16.41,1.853865,31.05,50.11,unknown
98656,1,11.161635,14.631526,22.561422,29.114971,15.62,1.448825,31.05,50.11,unknown
102539,1,12.208422,17.293896,22.519638,30.907244,14.84,3.750537,31.05,50.11,unknown
106408,1,10.110605,12.537785,22.747637,27.872482,14.06,1.892863,31.05,50.11,unknown
110403,1,11.757077,15.065554,22.625055,29.615746,16.41,2.087516,31.05,50.11,unknown
114193,1,8.452866,10.503421,21.644489,25.500122,13.28,1.4705,31.05,50.11,unknown
